year,name,cname,abr,votes,tot
1977,Anantapur,Devineni Narayanaswamy,BLD,173071,640440
1977,Anantapur,Darur Pullaiah,INC,215279,640440
1980,Anantapur,Yatam Narayana Reddy,IND,1674,714608
1980,Anantapur,N. Rajasekhara Reddy,CPI,76649,714608
1980,Anantapur,Devineni Narayanaswamy,JNP,98561,714608
1980,Anantapur,Darur Pullaiah,INC(I),171838,714608
1984,Anantapur,Adavula Narayana,IND,306,798271
1984,Anantapur,S.Chinnappa Setty,IND,474,798271
1984,Anantapur,Yatam Narayana Reddy,IND,643,798271
1984,Anantapur,Bagalokota Rama Rao,IND,654,798271
1984,Anantapur,M.Usman,IND,802,798271
1984,Anantapur,Motappa,IND,1069,798271
1984,Anantapur,Lakshmi Narayana,IND,1192,798271
1984,Anantapur,C.Venkatachalapathi,IND,1486,798271
1984,Anantapur,M.Swami Rao,IND,1575,798271
1984,Anantapur,Juturu Chennappa,IND,1771,798271
1984,Anantapur,Rentala Sudhakara Gupta,IND,5266,798271
1984,Anantapur,Darur Pullaiah,INC,193658,798271
1984,Anantapur,Devineni Narayanaswamy,TDP,302307,798271
1989,Anantapur,Bagalokota Rama Rao,IND,3003,1013902
1989,Anantapur,P.J. Dhanaraj,BSP,6484,1013902
1989,Anantapur,G. Ramanna Chowdary,TDP,290203,1013902
1989,Anantapur,Anantha Venkata Rami Reddy,INC,349685,1013902
1991,Anantapur,Bagalakota Rama Rao,IND,789,1016053
1991,Anantapur,Pujari Narayana,IND,878,1016053
1991,Anantapur,Adavula Narayana,IND,959,1016053
1991,Anantapur,Motappa,IND,1933,1016053
1991,Anantapur,K. Narayanaswamy,JP,3237,1016053
1991,Anantapur,Gurugu Venkatadasu,IND,3667,1016053
1991,Anantapur,Venkataswamy Muthuluru,BJP,38767,1016053
1991,Anantapur,B.T.L.N. Chowary,TDP,200392,1016053
1991,Anantapur,Anantha Venkata Rami Reddy,INC,362676,1016053
1996,Anantapur,G.C.Ravindra Nath,IND,338,1214517
1996,Anantapur,M.Osman,IND,505,1214517
1996,Anantapur,S.Surendra Prasad,IND,764,1214517
1996,Anantapur,S Khaja Hussain,IND,821,1214517
1996,Anantapur,Boya Bhaskar,IND,825,1214517
1996,Anantapur,G.Jaganmohan Reddy,IND,845,1214517
1996,Anantapur,Rachamadugu Subramanyam,IND,874,1214517
1996,Anantapur,Bokkasam Ramamohan,IND,910,1214517
1996,Anantapur,J.C.Salaiah,IND,974,1214517
1996,Anantapur,Bagalakota Rama Rao,IND,1131,1214517
1996,Anantapur,R.Madhusudhana Rao,IND,1296,1214517
1996,Anantapur,Vaikuntam Prasadu Naidu,IND,1366,1214517
1996,Anantapur,M.Prabhakar,IND,1774,1214517
1996,Anantapur,K.Krishna Reddy,IND,2303,1214517
1996,Anantapur,Chandragiri Motappa,IND,2391,1214517
1996,Anantapur,T Chandrayudu,IND,2403,1214517
1996,Anantapur,Pateel Ramalinga Reddy,IND,2629,1214517
