year	name	cname	sex	party	abr	votes	tot
1977	Anantapur	Devineni Narayanaswamy	M	Bharatiya Lok Dal	BLD	173071	640440
1977	Anantapur	Darur Pullaiah	M	Indian National Congress	INC	215279	640440
1980	Anantapur	Yatam Narayana Reddy	M	Independents	IND	1674	714608
1980	Anantapur	N. Rajasekhara Reddy	M	Communist Party Of India	CPI	76649	714608
1980	Anantapur	Devineni Narayanaswamy	M	Janta Party	JNP	98561	714608
1980	Anantapur	Darur Pullaiah	M	Indian Natioanl Congress (I)	INC(I)	171838	714608
1984	Anantapur	Adavula Narayana	M	Independent	IND	306	798271
1984	Anantapur	S.Chinnappa Setty	M	Independent	IND	474	798271
1984	Anantapur	Yatam Narayana Reddy	M	Independent	IND	643	798271
1984	Anantapur	Bagalokota Rama Rao	M	Independent	IND	654	798271
1984	Anantapur	M.Usman	M	Independent	IND	802	798271
1984	Anantapur	Motappa	M	Independent	IND	1069	798271
1984	Anantapur	Lakshmi Narayana	M	Independent	IND	1192	798271
1984	Anantapur	C.Venkatachalapathi	M	Independent	IND	1486	798271
1984	Anantapur	M.Swami Rao	M	Independent	IND	1575	798271
1984	Anantapur	Juturu Chennappa	M	Independent	IND	1771	798271
1984	Anantapur	Rentala Sudhakara Gupta	M	Independent	IND	5266	798271
1984	Anantapur	Darur Pullaiah	M	Indian National Congress	INC	193658	798271
1984	Anantapur	Devineni Narayanaswamy	M	Telugu Desam	TDP	302307	798271
1989	Anantapur	Bagalokota Rama Rao	M	Independent	IND	3003	1013902
1989	Anantapur	P.J. Dhanaraj	M	Bahujan Samaj Party	BSP	6484	1013902
1989	Anantapur	G. Ramanna Chowdary	M	Telugu Desam	TDP	290203	1013902
1989	Anantapur	Anantha Venkata Rami Reddy	M	Indian National Congress	INC	349685	1013902
1991	Anantapur	Bagalakota Rama Rao	M	Independent	IND	789	1016053
1991	Anantapur	Pujari Narayana	M	Independent	IND	878	1016053
1991	Anantapur	Adavula Narayana	M	Independent	IND	959	1016053
1991	Anantapur	Motappa	M	Independent	IND	1933	1016053
1991	Anantapur	K. Narayanaswamy	M	Janata Party	JP	3237	1016053
1991	Anantapur	Gurugu Venkatadasu	M	Independent	IND	3667	1016053
1991	Anantapur	Venkataswamy Muthuluru	M	BJP	BJP	38767	1016053
1991	Anantapur	B.T.L.N. Chowary	M	Telugu Desam	TDP	200392	1016053
1991	Anantapur	Anantha Venkata Rami Reddy	M	Indian National Congress	INC	362676	1016053
1996	Anantapur	G.C.Ravindra Nath	M	Independent	IND	338	1214517
1996	Anantapur	M.Osman	M	Independent	IND	505	1214517
1996	Anantapur	S.Surendra Prasad	M	Independent	IND	764	1214517
1996	Anantapur	S Khaja Hussain	M	Independent	IND	821	1214517
1996	Anantapur	Boya Bhaskar	M	Independent	IND	825	1214517
1996	Anantapur	G.Jaganmohan Reddy	M	Independent	IND	845	1214517
1996	Anantapur	Rachamadugu Subramanyam	M	Independent	IND	874	1214517
1996	Anantapur	Bokkasam Ramamohan	M	Independent	IND	910	1214517
1996	Anantapur	J.C.Salaiah	M	Independent	IND	974	1214517
1996	Anantapur	Bagalakota Rama Rao	M	Independent	IND	1131	1214517
1996	Anantapur	R.Madhusudhana Rao	M	Independent	IND	1296	1214517
1996	Anantapur	Vaikuntam Prasadu Naidu	M	Independent	IND	1366	1214517
1996	Anantapur	M.Prabhakar	M	Independent	IND	1774	1214517
1996	Anantapur	K.Krishna Reddy	M	Independent	IND	2303	1214517
1996	Anantapur	Chandragiri Motappa	M	Independent	IND	2391	1214517
1996	Anantapur	T Chandrayudu	M	Independent	IND	2403	1214517
1996	Anantapur	Pateel Ramalinga Reddy	M	Independent	IND	2629	1214517
1996	Anantapur	Nimmala Nehaji	M	Independent	IND	3943	1214517
1996	Anantapur	Nagaraju	M	Independent	IND	5426	1214517
1996	Anantapur	Veluri Kesava Chowdari	M	BJP	BJP	21802	1214517
1996	Anantapur	V Prabhakara Chowdary	M	Ntr Telugu Desam Party (Lakshmi Parvathi)	NTRTDP(LP)	94485	1214517
1996	Anantapur	R.Rangappa	M	Communist Party Of India	CPI	205986	1214517
1996	Anantapur	Anantha Venkata Rami Reddy	M	Indian National Congress	INC	284845	1214517
1998	Anantapur	Bheemalingaiah	M	Independent	IND	673	1213025
