name,mandal,year,age,area,community,edu,electioncat,occupation,party,sex,electedas
Laxmi Goud G,Agali,2001,,Ravudi,,,,,INC,,MPTC
Sarojamma,Agali,2001,,P.Byadigera,,,,,INC,,MPTC
Venkataswamy,Agali,2001,,Inagalore,,,,,TDP,,MPTC
Lingappa,Agali,2001,,Agali 2,,,,,INC,,MPTC
Chikkappaiah,Agali,2001,,Kodipalli,,,,,INC,,MPTC
Puttamma,Agali,2001,,Agali 1,,,,,TDP,,MPTC
Rathanamma,Agali,2001,,Narasambudi,,,,,INC,,MPTC
Narasimhaiah,Agali,2001,,Madhudi,,,,,INC,,MPTC President
Bodili Kamalamma,Amadagur,2001,,Pulakuntapalli,,,,,TDP,,MPTC
Nakili Laxmi Devi,Amadagur,2001,,Amadagur Ii,,,,,INC,,MPTC
Thepalli Rama Devi,Amadagur,2001,,Amadagur 1,,,,,INC,,MPTC President
Pichri Nagappa,Amadagur,2001,,Mohammadabad I,,,,,INC,,MPTC
Somagatta Mangamma,Amadagur,2001,,Thummala 1,,,,,INC,,MPTC
Nakkala Chinnappa,Amadagur,2001,,Mohammadabad Ii,,,,,TDP,,MPTC
Veera Obbanapalli Raja Reddy,Amadagur,2001,,Chinaganipalli,,,,,INC,,MPTC
Malaka Surya Narayana Reddy,Amadagur,2001,,Thummala 2,,,,,INC,,MPTC
Lakshmakka,Amarapuram,2001,,Nidragatta,,,,,INC,,MPTC
Siddeswarappa,Amarapuram,2001,,Hemavathi 1,,,,,INC,,MPTC
Govinda Raya,Amarapuram,2001,,Tamadepalli 1,,,,,INC,,MPTC President
Ratnamma,Amarapuram,2001,,Sivaram,,,,,TDP,,MPTC
Era Nagappa,Amarapuram,2001,,Valasa 1,,,,,TDP,,MPTC
P R Dhanumjaya,Amarapuram,2001,,Amarapuram 2,,,,,TDP,,MPTC
C Thippe Swamy,Amarapuram,2001,,Amarapuram 3,,,,,TDP,,MPTC
Mudda Rangamma,Amarapuram,2001,,Basavanapalli,,,,,INC,,MPTC
Nagamma,Amarapuram,2001,,Tamadepalli 2,,,,,INC,,MPTC
B S Murthy,Amarapuram,2001,,Valasa 2,,,,,TDP,,MPTC
B Sujatha,Amarapuram,2001,,Hemavathi 2,,,,,INC,,MPTC
U Nagendrappa,Amarapuram,2001,,Halukur,,,,,INC,,MPTC
A Siva Sankar,Amarapuram,2001,,Amarapuram 1,,,,,INC,,MPTC
