mandal,area,name,party
Agali,Ravudi,Laxmi Goud G,INC
Agali,B PyadIegera,Sarojamma,INC
Agali,Inagalur,Venkataswamy,TDP
Agali,Agali-II,Lingappa,INC
Agali,Kodipalli,Chikkappaiah,INC
Agali,Agali-I,Puttamma,TDP
Agali,Narasambudi,Rathanamma,INC
Agali,Madhudi,Narasimhaiah,INC
Amadagur,Pulikuntapalli,Bodili Kamalamma,TDP
Amadagur,Amadagur II,Nakili Laxmi Devi,INC
Amadagur,Amadagur-I,Thepalli Rama Devi,INC
Amadagur,Mohammadabad I,Pichri Nagappa,INC
Amadagur,Thummala-I,Somagatta Mangamma,INC
Amadagur,Mohammadabad II,Nakkala Chinnappa,TDP
Amadagur,Chinagantipalli,Veera Obbanapalli Raja Reddy,INC
Amadagur,Thummala II,Malaka Surya Narayana Reddy,INC
Amarapuram,Nidragatta,Lakshmakka,INC
Amarapuram,Hemavathi-I,Siddeswarappa,INC
Amarapuram,Tamadepalli-I,Govinda Raya,INC
Amarapuram,Sivaram,Ratnamma,TDP
Amarapuram,Valasa-I,Era Nagappa,TDP
Amarapuram,Amarapuram-II,P R Dhanumjaya,TDP
Amarapuram,Amarapuram-III,C Thippe Swamy,TDP
Amarapuram,Basavanapalli,Mudda Rangamma,INC
Amarapuram,Tamadepalli-II,Nagamma,INC
Amarapuram,Valasa-II,B S Murthy,TDP
Amarapuram,Hemavathi-II,B Sujatha,INC
Amarapuram,Halukur,U Nagendrappa,INC
Amarapuram,Amarapuram-I,A Siva Sankar,INC
Ananthapur,Rudrampeta,S Premela,CPI
Ananthapur,Chiyyedu,A Narasimhudu,TDP
Ananthapur,Rachanapalli,G Adeamma,INC
Ananthapur,Kandukur,C Maillikarjuna,CPI
Ananthapur,Katiganikalva,Gandala Adinarayana,INC
Ananthapur,Upparapalli,B Kullayappa,TDP
Ananthapur,Akuthotapalli,Gantla  Venkataramanamma,INC
Ananthapur,Kodimi,P Sharma Devi,TDP
Ananthapur,Kurugunta,Ragi Narayanamma,INC
Ananthapur,Ananthapur(Rural),K Thimma Naidu,TDP
Ananthapur,A-Narayanapuram-1,Kanta Muralimohan,TDP
Ananthapur,A Narayanapuram-2,Makala Venugopal,TDP
Ananthapur,Alamur,Alamuru Sreenivas Reddy,INC
Ananthapur,Maneela,O Chinna Krishna Reddy,TDP
Ananthapur,Somaladoddi,K Venkateswarlu,TDP
Atmakur,Talupur,M Nagesh,INC
Atmakur,P Yaleru,Obulesh,INC
Atmakur,Atmakur-II,Guggla Narayanamma,INC
Atmakur,Sanapa,K B Pedda Anjaneyulu,INC
Atmakur,Thopudurthi,Maddimene Kakshmidevi,TDP
Atmakur,Madigubba,Kristamma,INC
Atmakur,Atmakur-I,Pillala Eswaraiah,INC
Atmakur,Muttala,Gunde Akulanna,INC
Atmakur,Goridindla,Narasimhulu,INC
B K Samudram,B Kothapalli,P Venkatarathanam,INC
Bathalapalli,Sangala,Devarakonda Subbanna,TDP
Bathalapalli,Bathlapalli-II,Akkim Narsimhulu,TDP
Bathalapalli,Mustoor,Thalari Ganganna,TDP
Bathalapalli,Obulapuram,Bandi Pedda Narayana,TDP
Bathalapalli,Dampetla,Baste Sudha Mallikarjuna,TDP
Bathalapalli,D Cherlopalli,Daruru Jayasudha,TDP
Bathalapalli,Malyavantham,Konuguntla Narayana Reddy,TDP
Bathalapalli,Bathalapalli-I,Jackamputi Satyanarayana,TDP
