mandal,area,name,party,electioncat,communicaty,edu,age,sex,occupation,year
Agali,Agali-I,Ammajamma,TDP,BCW,,10th,26,F,,2006
Agali,Agali-II,Vanajakshamma,INC,URW,,Intermediate,41,F,Cultivation,2006
Agali,Inagalure,Seetharamappa,TDP,,,5TH,61,M,Cultivation,2006
Agali,Kodipalli,Hanumakka,TDP,SCW,,,49,F,Cultivation,2006
Agali,Madhudi,Nirmala,TDP,BCW,,Intermediate,39,F,,2006
Agali,Narasambudi,Lakshmamma,INC,URG,,,21,F,,2006
Agali,P.Byadigera,Gangamma,INC,URG,,3rd,41,F,Cultivation,2006
Agali,R.G.Halli,Jayamma,INC,URW,,10TH,32,F,Cultivation,2006
Agali,Ravudi,Eranna,INC,SCG,,4th,64,M,Cultivation,2006
AMADAGUR,AMADAGUR,LUNJALA RAVI,INC,SC,MALA,SSC PASS,31,M,CULTIVATION,2006
AMADAGUR,CHINAGANI PALLI,G.NARENDRA REDDY,TDP,UR,KAPU,SSC PASS,29,M,CULTIVATION,2006
AMADAGUR,GUNDUVARIPALLI,MAKA KRISHNA REDDY,TDP,,KAPU,SSC FAIL,54,M,CULTIVATION,2006
AMADAGUR,JOWKALA KOTHA PALLI,TALAMARLA VENKATARAMANAMMA,TDP,BC[W],GANDLA,,37,F,,2006
AMADAGUR,MAHAMMADABAD,PICHILI LEELAVATHI,TDP,UR[W],KAPU,SSC PASS,31,F,AGRICULTURE,2006
AMADAGUR,PULAKUNTA PALLI,GUDISI VENKATA MALLI REDDY,TDP,UR,KAPU,SSC FAIL,50,M,CULTIVATION,2006
AMADAGUR,THUMMALA,UTAKUR KRISTAPPA,TDP,BC,CHAKALA,IX CLASS,33,M,CULTIVATION,2006
AMARAPURAM,ALDA PALLI,LAKSHMAMMA,INC,BCW,,,37,F,,2006
AMARAPURAM,AMARAPURAM-I,GIRAJAMMA.K,INC,URW,BOYA,,51,F,,2006
AMARAPURAM,AMARAPURAM-II,MALLESAPPA,INC,URG,LINGAYAT,,35,M,AGRICULTURE,2006
AMARAPURAM,AMARAPURAM-III,VIJAYAMMA,TDP,URW,VAKKALIGA,,24,F,,2006
AMARAPURAM,BHAVANA PALLI,RANGAREDDY,INC,URG,KAPU,,32,M,AGRICULTURE,2006
AMARAPURAM,HALUKUR-I,NAGABHUSANAM,TDP,URG,VAKKALIGA,,60,M,AGRICULTURE,2006
AMARAPURAM,HALUKUR-II,NAGARAJU,TDP,BCG,,,41,M,AGRICULTURE,2006
AMARAPURAM,HEMAVATHI-1,RENUKA,TDP,BCG,,,24,F,,2006
AMARAPURAM,HEMAVATHI-2,GOVINDARAYA,INC,SCG,,,28,M,AGRICULTURE,2006
AMARAPURAM,NIDRAGATTA,GOVINDARAYAPPA,INC,BCG,,,49,M,AGRICULTURE,2006
AMARAPURAM,SIVARAM,N.SREERAMAREDDY,INC,URG,KAPU,,55,M,AGRICULTURE,2006
AMARAPURAM,THAMMEDE PALLI-I,NIGAMMA,TDP,URW,KURUBA,,57,F,,2006
AMARAPURAM,THAMMEDE PALLI-II,E.KRISHNAMURTHY,TDP,URG,VAKKALIGA,,39,M,AGRICULTURE,2006
AMARAPURAM,VALASA-I,NEELAMMA,TDP,SCW,,,28,F,,2006
AMARAPURAM,VALASA-II,K.THIPPE SWAMY,TDP,SCG,,,45,M,AGRICULTURE,2006
Anantapur,A.Narayanapuram-III,Chakali Alivelu,TDP,BC(W),,,,Female,,2006
Anantapur Rural,A.Narayanapuram-1,K.Manoj Kumar,TDP,URG,,Intermediate,29,M,AGRICULTURE,2006
Anantapur Rural,A.Narayanapuram-2,B.Akhila,INC,URW,,10th class,35,F,AGRICULTURE,2006
Anantapur Rural,A.Narayanapuram-4,m.Syam sundar,TDP,URG,,10th class,31,M,AGRICULTURE,2006
Anantapur Rural,A.Narayanapuram-5,c.Veeranjaneyulu,TDP,URG,,5th class,32,M,AGRICULTURE,2006
Anantapur Rural,Akuthotapalli,G.Narayanareddy,INC,URG,,9th class,42,M,AGRICULTURE,2006
Anantapur Rural,Alamur,G.Balanarasimhulu,TDP,BCG,,2nd class,34,M,AGRICULTURE,2006
Anantapur Rural,Anantapur Rual,R.Hemalatha,TDP,SCG,,Intermediate,22,F,AGRICULTURE,2006
Anantapur Rural,Chiyyedu,T.Jyothi,INC,URW,,10th class,25,F,AGRICULTURE,2006
Anantapur Rural,Itikalapalli,G.Sreeramulu,TDP,URG,,10th class,52,M,AGRICULTURE,2006
Anantapur Rural,Kakkalapalli,S.Madhavilatha,TDP,URG,,7th class,32,F,AGRICULTURE,2006
Anantapur Rural,Kakkalapalli Colony-I,M.Adilakshmi,INC,SCW,,10th class,24,F,AGRICULTURE,2006
