mandal,area,name,party,sex,electioncat,year
Agali,Agali,Sreenivasulu,YSRCP,M?,BC,2014
Agali,Hallikera,Lakshminarasappa,TDP,M?,SC,2014
Agali,Inagalore,G.Thippamma,TDP,F,UR(W),2014
Agali,Irigepalli,Kavitha,TDP,F,SC(W),2014
Agali,Kodipalli,Mallappa,TDP,M?,UR,2014
Agali,Madhudi,Nanjundappa,TDP,M?,UR,2014
Agali,Narasambudi,Sarojamma,TDP,F,BC(W),2014
Agali,P.Byadigera,Ammajamma,TDP,F,UR(W),2014
Agali,Ragelinganahalli,Sakrappa,TDP,M?,BC,2014
Agali,Ravudi,Lakshmamma,TDP,F,BC(W),2014
Amadagur,Amadagur,P.Geetha,IND,F,UR(W),2014
Amadagur,Chinaganipalli,D.Dhanalakshmi,TDP,M?,UR,2014
Amadagur,Gunduvaripalli,P.Venkatramanamma,TDP,M?,BC,2014
Amadagur,Jowkulakothapalli,K.Jayamma,YSRCP,M?,UR,2014
Amadagur,Mahammadabad,P.Sivamma,YSRCP,F,UR(W),2014
Amadagur,Pulakuntapalli,B.Santhamma,YSRCP,F,UR(W),2014
Amadagur,Thummala-I,P.Gangadevi,TDP,F,SC(W),2014
Amadagur,Thummala-Ii,M.Choudamma,YSRCP,F,BC(W),2014
Amarapuram,Aladapalli,Manjunath,TDP,M?,UR,2014
Amarapuram,Amarapuram-I,Nagaveni,TDP,F,UR(W),2014
Amarapuram,Amarapuram-Ii,Krishnamurthy,TDP,M?,UR,2014
Amarapuram,Basavanapalli,Krishnareddy,YSRCP,M?,BC,2014
Amarapuram,Haluku-Ii,Rangamma,TDP,F,SC(W),2014
Amarapuram,Halukur-I,C N Deepthi,TDP,F,BC(W),2014
Amarapuram,Hemavathi-I,Shivakumar,TDP,M?,UR,2014
Amarapuram,Hemavathi-Ii,Meenakashi,TDP,M?,BC,2014
Amarapuram,Hemavathi-Iii,Lokesh,TDP,M?,SC,2014
Amarapuram,K.Sivaram,S.Rashmi,TDP,F,UR(W),2014
Amarapuram,Maddanakunta,Govindaraya,TDP,M?,SC,2014
Amarapuram,Nidragatta,Roopa,TDP,F,UR(W),2014
Amarapuram,Thamadepalli-I,K. Saradamma,TDP,F,BC(W),2014
Amarapuram,Thamadepalli-Ii,Hemalatha,TDP,F,SC(W),2014
Amarapuram,V.Agraharam,Radhakrishna,TDP,M?,UR,2014
Amarapuram,Valasa,Girijamma,TDP,F,UR(W),2014
Ananthapuramu Rural,A.Narayanapuram - I,B.Vanaja,TDP,F,UR(W),2014
Ananthapuramu Rural,A.Narayanapuram - Ii,S.Nagaraju,TDP,M?,UR,2014
Ananthapuramu Rural,A.Narayanapuram - Iii,Mangala Ramu,TDP,M?,UR,2014
Ananthapuramu Rural,A.Narayanapuram - Iv,K.Aparana,YSRCP,F,UR(W),2014
Ananthapuramu Rural,A.Narayanapuram - V,B.Pushapavathi,TDP,F,BC(W),2014
Ananthapuramu Rural,A.Narayanapuram - Vi,E.Lelavathi,TDP,F,UR(W),2014
Ananthapuramu Rural,A.Narayanapuram - Vii,Kuruba Jganeswari,YSRCP,F,UR(W),2014
Ananthapuramu Rural,Akkampalli,T.Imamulu,TDP,M?,BC,2014
Ananthapuramu Rural,Akuthotapalli - I,S.Anand,TDP,M?,SC,2014
Ananthapuramu Rural,Akuthotapalli - Ii,M.Ramana,TDP,M?,BC,2014
Ananthapuramu Rural,Alamuru,A.Subba Reddy,YSRCP,M?,UR,2014
Ananthapuramu Rural,Anantapuramu Rural - I,B.Venkataramanamma,TDP,F,UR(W),2014
Ananthapuramu Rural,Anantapuramu Rural -Ii,K.Silpa,TDP,F,UR(W),2014
Ananthapuramu Rural,Chiyyedu,K.Ramamohan Reddy,YSRCP,M?,UR,2014
Ananthapuramu Rural,Itukalapalli,M.Akkulappa,TDP,M?,UR,2014
Ananthapuramu Rural,Kakkalapalli,Narayanswamy,TDP,M?,UR,2014
Ananthapuramu Rural,Kakkalapalli Colony - I,Kadirabba Dhanujay,YSRCP,M?,BC,2014
Ananthapuramu Rural,Kakkalpalli Colony - Ii,K.Radhamma,YSRCP,F,UR(W),2014
Ananthapuramu Rural,Kakkalpalli Colony - Iii,K.Gayathri Devi,YSRCP,F,BC(W),2014
