age,community,edu,electedas,electioncat,mandal,name,party,sex,year
,,,ZPTC,UR(W),Ananthapur,Lakshminarayanamma,TDP,,2001
,,,ZPTC,UR,Rapthadu,Kanuthuru Subba Reddy,INC,,2001
,,,ZPTC,ST,Atmakur,Karamthota Govindu,INC,,2001
,,,ZPTC,BC,Garladdinne,Kuruba Lingaiah,TDP,,2001
,,,ZPTC,SC(W),Narpala,P Sarada,TDP,,2001
,,,ZPTC,UR,Tadpatri,P Narasimhaiah,TDP,,2001
,,,ZPTC,SC,Peddapappur,A Narayana,TDP,,2001
,,,ZPTC,UR(W),Yellanur,Bogathi Balagangamma,INC,,2001
,,,ZPTC,BC,Gooty,Naraboina Praveen Kumar,INC,,2001
,,,ZPTC,UR,Guntakal,Rangappa Chowdary,TDP,,2001
,,,ZPTC,UR,Gorantla,R Venkata Reddy,TDP,,2001
,,,ZPTC,UR(W),Vajrakarur,D Khajabi,INC,,2001
,,,ZPTC,UR,Gandlapenta,Katakam Bhaskara Reddy,INC,,2001
,,,ZPTC,BC(W),Gudibanda,Kariyamma,INC,,2001
,,,ZPTC,BC,Uravakonda,Regati Lakshmanna,TDP,,2001
,,,ZPTC,ST(W),Mudigubba,K Sake Bai,INC,,2001
,,,ZPTC,SC,Peddavaduguru,N Chiranjeevulu,TDP,,2001
,,,ZPTC,UR(W),Madakasira,Sulochanamma,TDP,,2001
,,,ZPTC,UR,Chilamathur,M Lakshminarayana Reddy,TDP,,2001
,,,ZPTC,BC,Lepakshi,P Krishnappa,TDP,,2001
,,,ZPTC,BC(W),Beluguppa,B Ramalakshmamma,TDP,,2001
,,,ZPTC,BC,Parigi,Nanjundappa,TDP,,2001
,,,ZPTC,UR(W),Kalyandurg,Pujari Mahadevi,INC,,2001
,,,ZPTC,SC,Hindupur,B Thippanna,INC,,2001
,,,ZPTC Chairman,UR,Rolla,G Thippeswamy,INC,,2001
,,,ZPTC,SC(W),Rayadurg,Govindamma,INC,,2001
,,,ZPTC,BC(W),Ramagiri,G Padmavathi,TDP,,2001
,,,ZPTC,SC,Kanaganapalli,K Peddappaiah,TDP,,2001
,,,ZPTC,UR,Amadagur,Potta Purushotham Reddy,INC,,2001
,,,ZPTC,UR,C K Palli,M Suryanarayana Reddy,TDP,,2001
,,,ZPTC,UR(W),Agali,Seethamma,INC,,2001
,,,ZPTC,UR,Bathalapalli,Kodimi Chinna Peddanna,TDP,,2001
,,,ZPTC,UR(W),Amarapuram,Rangamma,INC,,2001
,,,ZPTC,UR,Vidapanakal,Patil Veeranna Gowd,TDP,,2001
,,,ZPTC,UR,Tanakallu,Ravindra Reddy,TDP,,2001
,,,ZPTC,UR,Talupula,Pattupogula Narayana,INC,,2001
,,,ZPTC,BC(W),Settur,S Nagarathna,CPI,,2001
,,,ZPTC,UR(W),N P Kunta,Kotte Ramulamma,TDP,,2001
,,,ZPTC,ST,Nallamada,D Narayana Naik,INC,,2001
,,,ZPTC,BC,Kambadur,G Ramanjaneyulu,INC,,2001
,,,ZPTC,UR,Kadiri,J Suryanarayana,TDP,,2001
