mandal,name,party,electioncat
Ananthapur,Lakshminarayanamma,TDP,UR(W)
Rapthadu,Kanuthuru Subba Reddy,INC,UR
Atmakur,Karamthota Govindu,INC,ST
Garladdinne,Kuruba Lingaiah,TDP,BC
Narpala,P Sarada,TDP,SC(W)
Tadpatri,P Narasimhaiah,TDP,UR
Peddapappur,A Narayana,TDP,SC
Yellanur,Bogathi Balagangamma,INC,UR(W)
Gooty,Naraboina Praveen Kumar,INC,BC
Guntakal,Rangappa Chowdary,TDP,UR
Gorantla,R Venkata Reddy,TDP,UR
Vajrakarur,D Khajabi,INC,UR(W)
Gandlapenta,Katakam Bhaskara Reddy,INC,UR
Gudibanda,Kariyamma,INC,BC(W)
Uravakonda,Regati Lakshmanna,TDP,BC
Mudigubba,K Sake Bai,INC,ST(W)
Peddavaduguru,N Chiranjeevulu,TDP,SC
Madakasira,Sulochanamma,TDP,UR(W)
Chilamathur,M Lakshminarayana Reddy,TDP,UR
Lepakshi,P Krishnappa,TDP,BC
Beluguppa,B Ramalakshmamma,TDP,BC(W)
Parigi,Nanjundappa,TDP,BC
Kalyandurg,Pujari Mahadevi,INC,UR(W)
Hindupur,B Thippanna,INC,SC
Rolla,G Thippeswamy,INC,UR
Rayadurg,Govindamma,INC,SC(W)
Ramagiri,G Padmavathi,TDP,BC(W)
Kanaganapalli,K Peddappaiah,TDP,SC
Amadagur,Potta Purushotham Reddy,INC,UR
C K Palli,M Suryanarayana Reddy,TDP,UR
Agali,Seethamma,INC,UR(W)
Bathalapalli,Kodimi Chinna Peddanna,TDP,UR
Amarapuram,Rangamma,INC,UR(W)
Vidapanakal,Patil Veeranna Gowd,TDP,UR
Tanakallu,Ravindra Reddy,TDP,UR
Talupula,Pattupogula Narayana,INC,UR
Settur,S Nagarathna,CPI,BC(W)
N P Kunta,Kotte Ramulamma,TDP,UR(W)
Nallamada,D Narayana Naik,INC,ST
Kambadur,G Ramanjaneyulu,INC,BC
Kadiri,J Suryanarayana,TDP,UR
Brahma Samudram,Ingala Gidda Reddy,INC,UR
Puttaparthi,V Chennakesavulu,TDP,UR
O D Cheruvu,P Obula Reddy,TDP,UR
Nallacheruvu,Yerragonda Vanemma,INC,UR(W)
Bukkapatnam,Kandukuri Lakshmikanthamma,INC,BC(W)
Kothacheruvu,Chinnapolla Lakshminarayana,TDP,UR
Roddam,Subbarayappagari Narasimhulu,TDP,SC
Somandepalli,Vetti Aswarthanarayana,TDP,SC
Penukonda,G Venkataramudu,TDP,UR
Bommanahal,Mallikarjuna,TDP,BC
Kanekal,Anjaneyulu,TDP,BC
Gummagatta,Thippamma,INC,BC(W)
D Hirehal,Anumatharayudu,TDP,BC
Kundurpi,P G Veeranna,INC,BC
Pamidi,Manikinda Veeranjaneyulu,INC,BC
Putlur,K C Narayana,INC,SC
Yadiki,Gutta Venkatanaidu,INC,UR
B K Samudram,Talari Kondanna,INC,BC
Singanamala,Nagapuram Pullamma,BJP,BC(W)
Kudair,Kondapalli Madanna,INC,BC
Dharmavaram,Ch. Obireddy,TDP,UR
Tadimarri,Yerraganga Manjula,TDP,UR(W)
