N. Chandra Babu Naidu,08/06/2014,30/05/2019
President's rule,1/4/2014,8/06/2014
N.Kiran Kumar Reddy,25/11/2010,1/4/2014
K. Rosaiah,04/09/2009,24/11/2010
Y.S. Rajasekhara Reddy,14/05/2004,02/09/2009
N. Chandra Babu Naidu,01/09/1995,14/05/2004
N.T.Rama Rao,12/12/1994,01/09/1995
K.VijayaBhaskara Reddy,09/10/1992,12/12/1994
N.Janardhana Reddy,17/12/1990,09/10/1992
Marri Chenna Reddy,03/12/1989,17/12/1990
N.T.Rama Rao,09/03/1985,03/12/1989
N.T.Rama Rao,16/09/1984,09/03/1985
N.Bhaskara Rao,16/08/1984,16/09/1984
N.T.Rama Rao,09/01/1983,16/08/1984
K.Vijaya Bhaskara Reddy,09/01/1982,09/01/1983
Bhavanam Venkataram,24/02/1982,20/09/1982
Tanguturi Anjaiah,11/10/1980,24/02/1982
Marri Chenna Reddy,06/03/1978,11/10/1980
Jalagam Vengala Rao,10/12/1973,06/03/1978
President's rule,10/10/1973,10/12/1973
P.V.Narasimha Rao,30/09/1971,10/01/1973
Kasu Bramhananda Reddy ,29/02/1964,30/09/1971
Neelam Sanjeeva Reddy  12/03/1962 ,29/02/1964
Damodaram Sanjivayya,11/01/1960,12/03/1962
Neelam Sanjeeva Reddy,01/11/1956,11/01/1960
