#source: en.wikipedia.org/wiki/Y._S._Jaganmohan_Reddy_Ministry
#name,type,portfolio*,constituency
Y. S. Jaganmohan Reddy,Chief Minister,,Pulivendla 
Pilli Subhash Chandra Bose,Deputy Chief Minister,Revenue, Registration and Stamps,MLC 
Alla Kali Krishna Srinivas,Deputy Chief Minister,,Health, Family Welfare and Medical education,Eluru 
Pushpasreevani Pamula,Deputy Chief Minister,Tribal Welfare,Kurupam 
K. Narayana Swamy,Deputy Chief Minister,Excise and Commercial taxes,Gangadhara Nellore 
Amzath Basha Shaik Bepari,Deputy Chief Minister,Minority welfare,Kadapa, 
Mekathoti Sucharitha,,Home affairs and Disaster management,Prathipadu 
Bugganna Rajendranath, ,Finance & Planning and Legislative affairs,Dhone 
Peddireddi Ramachandra Reddy,,Panchayati Raj & Rural development and Mines & Geology,Punganur
Botcha Satyanarayana,,Municipal administration and Urban development,Cheepurupalli 
Dharmana Krishna Das,,Roads and Buildings,Narasannapeta 
Balineni Srinivas Reddy,,Energy, Forest & Environment and Science & Technology,Ongole 
Audimulapu Suresh,,Education,Yerragondapalem 
Anil Kumar Poluboina,,Irrigation (Water resources),Nellore City 
Mekapati Goutham Reddy,,Industries & Commerce and Information & Technology,Atmakur 
Kodali Sri Venkateswara Rao,Gudivada,Civil supplies & Consumer affairs
Perni Venkataramaiah,,Transport and I&PR,Machilipatnam 
Vellam Palli Srinivasa Rao,,Endowments,Vijayawada West 
Taneti Vanitha,,Women & Child welfare,Kovvur 
Cherukuvada Sri Ranganadha Raju,,Housing,Achanta
Muttamsetti Srinivasa Rao,,Tourism, Culture & Youth advancement,Bhimili 
Kurasala Kannababu,, Agriculture and Cooperation, Kakinada Rural 
Pinipe Viswaroope,,Social welfare,Amalapuram
Mopidevi Venkata Ramana,,Animal Husbandry, Fisheries & Marketing,MLC
Malagundla Sankaranarayana,,Backward classes welfare,Penukonda 
Gummanur Jayaram,,Labour, Employment & Training and Factories,Alur 
