mandal,party,electioncat,president
Ananthapur,INC,UR   ,Alamuru Srinivasa Reddy
Rapthadu,INC,BC   ,M Chennamma
Garladdinne,TDP,UR   ,T Pradeep Reddy
Atmakur,INC,BC   ,Pillala Eswaraiah
Kudair,INC,UR(W),Sri Mude Ramana Naik
Singanamala,BJP,SC   ,G Adinarayana
B K Samudram,INC,SC(W),Smt Chella Pedda Kalavathi
Narpala,TDP,UR   ,Nallapati Umapathi
Tadpatri,INC,UR   ,Y Sunki Reddy
Yadiki,INC,BC   ,Bala Ravi Kishore
Peddapappur,INC,UR   ,K Sai Mohan
Putlur,INC,UR   ,Bhumi Reddy Ramachander Reddy
Yellanur,INC,UR   ,K Pedda Reddy
Guntakal,TDP,BC   ,R Jitendra Goud
Gooty,INC,UR   ,Kona Muralider Reddy
Pamidi,INC,UR(W),NVS Vasundra Devi
Peddavaduguru,TDP,BC(W),M K Laxmibai
Uravakonda,TDP,UR(W),Madineni Chandrakala
Vajrakarur,INC,BC   ,Ramchandra
Vidapanakal,TDP,BC(W),D Renuka
Dharmavaram,TDP,BC   ,S Maddileti
Tadimarri,INC,UR   ,P Chenna Krishanamma
Bathalapalli,TDP,UR   ,I Sathyanarayana
C K Palli,TDP,BC(W),M Prasadamma
Kanaganapalli,TDP,UR   ,D Bavi Reddy
Ramagiri,TDP,SC   ,B Lingappa
Kalyandurg,INC,BC   ,T Vannur Swami
Beluguppa,INC,UR   ,Pujari Yerri Swami
Brahma Samudram,INC,BC(W),Boya Ratnamma
Kambadur,INC,SC(W),H Nagalaxmi
Settur,INC,BC   ,B Rama Bheemappa
Kundurpi,CPI,UR(W),Girijamma
Rayadurg,INC,BC   ,K Kumara Swami
D Hirehal,TDP,UR(W),N Pushpavathi
Gummagatta,INC,UR   ,K Raghavareddy
Kanekal,TDP,UR(W),S K Parvathi
Bommanahal,TDP,UR(W),R Pushpalatha
Penukonda,TDP,UR(W),G Aliveli
Somandepalli,TDP,BC   ,G Varadappa
Roddam,TDP,BC   ,U Chalapathi
Puttaparthi,INC,UR   ,B Obula Reddy
Kothacheruvu,TDP,UR(W),S Vani
Bukkapatnam,INC,UR   ,P Brundamma
Madakasira,TDP,SC   ,K Laxminarasappa
Amarapuram,INC,SC   ,K Govindarava
Gudibanda,INC,SC   ,L K Narasimhappa
Rolla,INC,SC(W),Latha
Agali,INC,SC   ,Narasimhaiah
Hindupur,INC,UR   ,K H Nanjunda Reddy
Parigi,INC,SC   ,Laxmi Devamma
Lepakshi,TDP,UR   ,T Venkatesulu
Chilamathur,TDP,BC   ,Sivappa
Gorantla,TDP,BC(W),E Renuka Devi
Kadiri,TDP,ST   ,M Ramana Naik
Mudigubba,INC,UR   ,d Srinisavulu Reddy
Nallamada,INC,BC   ,A Pratap
N P Kunta,TDP,UR   ,C M Venkatasubbamma
Talupula,TDP,UR   ,K Vijaya Laxmi
Nallacheruvu,INC,UR   ,D Vemaiah
O D Cheruvu,INC,BC(W),A Vasundhara
Tanakallu,INC,UR(W),G Narsamma
Amadagur,INC,BC(W),T Ramadevi
Gandlapenta,TDP,UR(W),A Padmaja
