mandal,electioncat,president,pparty,vp,vpparty,cooptmember
Agali,BC,Ammajakka,TDP,Nanjundappa,TDP,C. Rangappa
Amadagur,UR(W),M. Venkataramanamma,TDP,D. Dhanalakshmi,TDP,V. Sabiqthulla
Amarapuram,BC(W),Meenakshi,TDP,M. Radhakrishna,TDP,K. Nagaraju
Ananthapuramu,BC,K. Madhavi,TDP,K. Shilpa Venkatesulu cha,TDP,N. Chand Basha
Atmakur,SC,M. Marekka,TDP,P. Pratap,TDP,Ontela Basha
Bathalapalli,BC,K. Suryaprakash Babu,YSRCP,E. Venkateswara Reddy,YSRCP,Kasim sab
Beluguppa,SC(W),Thirupathamma,TDP,G. Thimmappa,TDP,D. Vishveswara
Bommanahal,BC(W),U. Parvathi,TDP,Kottapalli Kavitha,TDP,R. Sharmas Vali
Brahmasamudram,SC(W),M. Manjula,TDP,Golla Jyothi,TDP,A. Thippeswamy
Bukkapatnam,UR,C. Ravi,TDP,Y. Manjula,TDP,R. Baba
B.K.Samudram,UR,S. Adilakshmi,YSRCP,G. Pedda Venkatareddy,YSRCP,Sake Ganuga Rasool
C.K.Palli,UR,A. Amarendra,TDP,B. Narayanamma,TDP,Yadiki Babu
Chilamathur,UR,C. Nowzia,TDP,N. Venkatareddy,TDP,G. Hidayathulla
D.Hirehal,BC(W),Palthur Pushpavathi,TDP,Boya Talari Gangadhara,TDP,"P. Chandrasekhar 
Reddy"
Dharmavaram,UR,B. Venugopal Reddy,TDP,P. Kavitha,TDP,S.M. Basha
Gandlapenta,UR(W),Bhushannagari Padmaja,YSRCP,K. Adeppa Naidu,YSRCP,S.V. Sikindar
Garladinne,SC,J. Nagaraju,TDP,K. Chandrasekhara Naidu,TDP,S. Mahaboob Basha
Gooty,UR,G. Veerabhadraiah,TDP,T. Mohandas,TDP,Shaik Ishaq Saheb
Gorantla,UR(W),N. Vijaya Dharani,TDP,C. Bhaskar Reddy,TDP,S. Anwar Basha
Gudibanda,BC,S. Hanumantha Raidu,TDP,A. Sanneerappa,TDP,A. Shwkath Ali
Gummagatta,BC,K. Girimallappa,TDP,Chinna Hanumakka,TDP,Malik Sab
