name,mandal,year,age,area,community,cooptmember,edu,electioncat,occupation,party,pparty,president,sex,vp,vpparty
Laxmi Goud G,Agali,2001,,Ravudi,,,,,,INC,,,,,
Sarojamma,Agali,2001,,P.Byadigera,,,,,,INC,,,,,
Venkataswamy,Agali,2001,,Inagalore,,,,,,TDP,,,,,
Lingappa,Agali,2001,,Agali 2,,,,,,INC,,,,,
Chikkappaiah,Agali,2001,,Kodipalli,,,,,,INC,,,,,
Puttamma,Agali,2001,,Agali 1,,,,,,TDP,,,,,
Rathanamma,Agali,2001,,Narasambudi,,,,,,INC,,,,,
Narasimhaiah,Agali,2001,,Madhudi,,,,,,INC,,,,,
Bodili Kamalamma,Amadagur,2001,,Pulakuntapalli,,,,,,TDP,,,,,
Nakili Laxmi Devi,Amadagur,2001,,Amadagur Ii,,,,,,INC,,,,,
Thepalli Rama Devi,Amadagur,2001,,Amadagur 1,,,,,,INC,,,,,
Pichri Nagappa,Amadagur,2001,,Mohammadabad I,,,,,,INC,,,,,
Somagatta Mangamma,Amadagur,2001,,Thummala 1,,,,,,INC,,,,,
Nakkala Chinnappa,Amadagur,2001,,Mohammadabad Ii,,,,,,TDP,,,,,
Veera Obbanapalli Raja Reddy,Amadagur,2001,,Chinaganipalli,,,,,,INC,,,,,
Malaka Surya Narayana Reddy,Amadagur,2001,,Thummala 2,,,,,,INC,,,,,
Lakshmakka,Amarapuram,2001,,Nidragatta,,,,,,INC,,,,,
Siddeswarappa,Amarapuram,2001,,Hemavathi 1,,,,,,INC,,,,,
Govinda Raya,Amarapuram,2001,,Tamadepalli 1,,,,,,INC,,,,,
Ratnamma,Amarapuram,2001,,Sivaram,,,,,,TDP,,,,,
Era Nagappa,Amarapuram,2001,,Valasa 1,,,,,,TDP,,,,,
P R Dhanumjaya,Amarapuram,2001,,Amarapuram 2,,,,,,TDP,,,,,
C Thippe Swamy,Amarapuram,2001,,Amarapuram 3,,,,,,TDP,,,,,
Mudda Rangamma,Amarapuram,2001,,Basavanapalli,,,,,,INC,,,,,
Nagamma,Amarapuram,2001,,Tamadepalli 2,,,,,,INC,,,,,
B S Murthy,Amarapuram,2001,,Valasa 2,,,,,,TDP,,,,,
B Sujatha,Amarapuram,2001,,Hemavathi 2,,,,,,INC,,,,,
