year,electedas,name,party,segment,mandal,area,ward,age,community,edu,electioncat,occupation,sex,tot,votes
1977,MP Candidate,Devineni Narayanaswamy,BLD,Anantapur,,,,,,,,,,640440.0,173071.0
1977,MP,Darur Pullaiah,INC,Anantapur,,,,,,,,,,640440.0,215279.0
1980,MP Candidate,Yatam Narayana Reddy,IND,Anantapur,,,,,,,,,,714608.0,1674.0
1980,MP Candidate,N. Rajasekhara Reddy,CPI,Anantapur,,,,,,,,,,714608.0,76649.0
1980,MP Candidate,Devineni Narayanaswamy,JNP,Anantapur,,,,,,,,,,714608.0,98561.0
1980,MP,Darur Pullaiah,INC(I),Anantapur,,,,,,,,,,714608.0,171838.0
1984,MP Candidate,Adavula Narayana,IND,Anantapur,,,,,,,,,,798271.0,306.0
1984,MP Candidate,S.Chinnappa Setty,IND,Anantapur,,,,,,,,,,798271.0,474.0
1984,MP Candidate,Yatam Narayana Reddy,IND,Anantapur,,,,,,,,,,798271.0,643.0
1984,MP Candidate,Bagalokota Rama Rao,IND,Anantapur,,,,,,,,,,798271.0,654.0
1984,MP Candidate,M.Usman,IND,Anantapur,,,,,,,,,,798271.0,802.0
1984,MP Candidate,Motappa,IND,Anantapur,,,,,,,,,,798271.0,1069.0
1984,MP Candidate,Lakshmi Narayana,IND,Anantapur,,,,,,,,,,798271.0,1192.0
1984,MP Candidate,C.Venkatachalapathi,IND,Anantapur,,,,,,,,,,798271.0,1486.0
1984,MP Candidate,M.Swami Rao,IND,Anantapur,,,,,,,,,,798271.0,1575.0
1984,MP Candidate,Juturu Chennappa,IND,Anantapur,,,,,,,,,,798271.0,1771.0
1984,MP Candidate,Rentala Sudhakara Gupta,IND,Anantapur,,,,,,,,,,798271.0,5266.0
1984,MP Candidate,Darur Pullaiah,INC,Anantapur,,,,,,,,,,798271.0,193658.0
1984,MP,Devineni Narayanaswamy,TDP,Anantapur,,,,,,,,,,798271.0,302307.0
1989,MP Candidate,Bagalokota Rama Rao,IND,Anantapur,,,,,,,,,,1013902.0,3003.0
